circular_id,circular_number,circular_name,branch_name,year,circular_date,circular_url,english_url,sinhala_url,tamil_url,complete_trilingual
658,354/1986,Salary Advance to Public officers and employees of public corporations who have sufferred,,1986,1986-12-04,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=658&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/354-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/354-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/354-1986(t).pdf,True
657,353/1986,Refund of Credit Council Contributions to Public Officers,,1986,1986-11-26,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=657&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/353-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/353-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/353-1986(t).pdf,True
653,352/1986,Acident Leave amd Special Sick Leave Establishments Code-Chapter XII,,1986,1986-11-20,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=653&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/352-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/352-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/352-1986(t).pdf,True
652,350/1986,Compensation for Publicofficers who suffer injury whilst on duty Amendments tothe Public Administration Circular,,1986,1986-11-12,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=652&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/350-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/350-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/350-1986(t).pdf,True
633,348/1986,Mileage Motor Cars Chapter XIV Establishments Code,,1986,1986-10-31,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=633&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/348-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/348-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/348-1986(t).pdf,True
595,344/1986,Appointments on a Casual Basis,,1986,1986-09-30,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=595&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/344-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/344-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/344-1986(t).pdf,True
520,340,Amendments to the Establishments Code,,1986,1986-08-26,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=520&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/340-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/340-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/340-1986(t).pdf,True
575,339/1986,Illicit Felling in State Lands,,1986,1986-08-21,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=575&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/339-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/339-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/339-1986(t).pdf,True
614,335/1986,Amendments to the establishments code,,1986,1986-07-22,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=614&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/335-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/335-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/335-1986(t).pdf,True
621,336/1986,"Persons appointed toMinor Grades deployed as Stenographers, Typists or Clerks in Sinhlal, Tamil or English Medium",,1986,1986-07-22,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=621&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/336-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/336-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/336-1986(t).pdf,True
620,334/1986,Graduateship of the Institute of cheristry (Ceylon),,1986,1986-07-17,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=620&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/334-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/334-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/334-1986(t).pdf,True
619,333/1986,Ceiling on remuneration receivable from Government,,1986,1986-07-14,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=619&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/333-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/333-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/333-1986(t).pdf,True
618,330/1986,Workers Representatives in Administration Posts of Assistant Secretaries to Ministries,,1986,1986-06-24,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=618&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/330-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/330-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/330-1986(t).pdf,True
2010,327(II),1986 New Salaries – Elimination of Limits Causing Stagnation at the Maximum of Salary Scales – Amendments to Public Administration Circular  No. 327(I) of 16.06.1986,,1986,1986-06-24,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=2010&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/1678270455-327-ii-e.pdf,https://pubad.gov.lk/web/images/circulars/1986/S/1678270455-327-ii-s.pdf,https://pubad.gov.lk/web/images/circulars/1986/T/1678270455-327-ii-t.pdf,True
1378,327,1986 New Salaries – Elimination of Limits Causing Stagnation at the Maximum of Salary Scales,,1986,1986-06-16,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=1378&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/1667205027-327-1986-e.pdf,https://pubad.gov.lk/web/images/circulars/1986/S/1667205027-327-1986-s.pdf,https://pubad.gov.lk/web/images/circulars/1986/T/1667205027-327-1986-t.pdf,True
604,329/1986,Leave to officers re-employed after retirement New Establishments Code Chapter XII,,1986,1986-05-19,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=604&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/329-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/329-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/329-1986(t).pdf,True
603,328/1986,Payment for Serving as Members of Interview Boards,,1986,1986-05-08,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=603&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/328-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/328-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/328-1986(t).pdf,True
600,326/1986,"Payment of Pay and Allowances to Government Employeed, Local Government Employees, and Corporation Employees",,1986,1986-04-11,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=600&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/326-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/326-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/326-1986(t).pdf,True
599,325/1986,Census of under-employed Graduates serving in Clerical and Parallel Grades,,1986,1986-03-20,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=599&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/325-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/325-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/325-1986(t).pdf,True
598,324/1986,Trade Union Representations to the Salaries Review Committee,,1986,1986-03-13,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=598&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/324-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/324-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/324-1986(t).pdf,True
592,322/1986,Station Allowance New Establishments Code Chapter VIII sub section 12 1,,1986,1986-03-12,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=592&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/322-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/322-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/322-1986(t).pdf,True
593,323/1986,Public Administration Circular No 305,,1986,1986-03-12,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=593&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/323-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/323-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/323-1986(t).pdf,True
